lateral_range,lateral_range_delta,lateral_range_percent_change,forward_velocity,forward_velocity_delta,forward_velocity_percent_change,run_name
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PLMR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PLNL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PLNR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PQR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVCL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVCR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVDL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVDR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVM
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVNL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVNR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVPL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVPR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVQL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVQR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVT
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVWL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,PVWR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIAL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIAR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIBL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIBR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RICL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RICR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RID
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIFL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIFR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIGL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIGR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIH
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIML
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIMR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIPL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIPR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIS
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIVL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RIVR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RMDDL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,RMDDR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS01
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS02
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS03
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS04
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS05
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS06
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS07
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS08
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS09
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS10
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,AS11
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,IL1VL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SABVR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SDQL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SDQR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SIADL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SIADR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SIAVL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SIAVR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SIBDL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SIBDR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SIBVL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SIBVR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SMBDL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SMBDR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SMBVL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SMBVR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SMDDL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SMDDR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SMDVL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,SMDVR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URADL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URADR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URAVL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URAVR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URBL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URBR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URXL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URXR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URYDL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URYDR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URYVL
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,URYVR
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA01
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA02
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA03
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA04
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA05
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA06
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA07
